Year,Player,Team,Matches,Balls,Overs,Runs Given,Wickets,Economy Rate,Average,Strike Rate,Dots,4s,6s,Boundaries Conceded,Wides,No Balls,Extras Given
2023,Mohammed Siraj,Royal Challengers Bengaluru,14,300,50.0,375,19,7.5,19.74,15.79,151,43,12,55,32,8,40
2023,Mohit Rathee,Punjab Kings,1,12,2.0,29,0,14.5,,,3,3,2,5,0,0,0
2023,Mohsin Khan,Lucknow Super Giants,4,60,10.0,107,3,10.7,35.67,20.0,22,9,7,16,4,0,4
2023,Mukesh Kumar,Delhi Capitals,10,186,31.0,326,7,10.52,46.57,26.57,63,29,19,48,10,3,13
2023,Mustafizur Rahman,Delhi Capitals,2,42,7.0,79,1,11.29,79.0,42.0,13,10,4,14,0,0,0
2023,N Rana,Kolkata Knight Riders,6,53,8.5,75,3,8.49,25.0,17.67,18,7,3,10,1,0,1
2023,NA Saini,Rajasthan Royals,1,12,2.0,34,0,17.0,,,2,3,2,5,0,11,11
2023,NT Ellis,Punjab Kings,10,228,38.0,339,13,8.92,26.08,17.54,65,28,13,41,4,9,13
2023,Navdeep Saini,Rajasthan Royals,1,24,4.0,40,3,10.0,13.33,8.0,9,6,1,7,1,0,1
2023,Naveen-ul-Haq,Lucknow Super Giants,7,168,28.0,219,11,7.82,19.91,15.27,64,16,9,25,5,5,11
2023,Nithish Kumar Reddy,Sunrisers Hyderabad,2,30,5.0,54,0,10.8,,,10,2,5,7,0,1,1
2023,Noor Ahmad,Gujarat Titans,13,283,47.1,369,16,7.82,23.06,17.69,100,28,13,41,15,2,17
2023,OC McCoy,Rajasthan Royals,1,6,1.0,13,0,13.0,,,2,1,1,2,1,0,1
2023,P Dubey,Delhi Capitals,1,18,3.0,19,1,6.33,19.0,18.0,8,1,1,2,1,0,1
2023,PP Chawla,Mumbai Indians,16,366,61.0,495,22,8.11,22.5,16.64,120,42,19,61,5,0,5
2023,PWH de Silva,Royal Challengers Bengaluru,8,174,29.0,258,9,8.9,28.67,19.33,54,17,15,32,2,0,2
2023,R Ashwin,Rajasthan Royals,13,294,49.0,368,14,7.51,26.29,21.0,88,20,14,34,16,0,16
2023,R Dhawan,Punjab Kings,4,42,7.0,60,1,8.57,60.0,42.0,19,7,3,10,0,0,0
2023,R Goyal,Mumbai Indians,1,24,4.0,33,0,8.25,,,6,1,2,3,0,0,0
2023,R Powell,Delhi Capitals,1,12,2.0,18,1,9.0,18.0,12.0,4,1,1,2,1,1,2
2023,R Tewatia,Gujarat Titans,2,13,2.1,15,0,6.92,,,7,1,1,2,1,0,1
2023,RA Jadeja,Chennai Super Kings,16,342,57.0,431,20,7.56,21.55,17.1,106,21,20,41,11,0,11
2023,RD Chahar,Punjab Kings,14,298,49.4,385,8,7.75,48.12,37.25,93,33,12,45,3,0,3
2023,RJW Topley,Royal Challengers Bengaluru,1,12,2.0,14,1,7.0,14.0,12.0,7,3,0,3,0,0,0
2023,RP Meredith,Mumbai Indians,5,118,19.4,207,7,10.53,29.57,16.86,40,24,9,33,8,7,15
2023,RS Hangargekar,Chennai Super Kings,2,36,6.0,60,3,10.0,20.0,12.0,14,6,2,8,6,1,7
2023,Rashid Khan,Gujarat Titans,17,402,67.0,552,27,8.24,20.44,14.89,129,40,26,66,5,0,5
2023,Ravi Bishnoi,Lucknow Super Giants,14,303,50.3,391,16,7.74,24.44,18.94,94,23,16,39,7,7,14
2023,SM Curran,Punjab Kings,14,287,47.5,489,10,10.22,48.9,28.7,80,49,21,70,11,1,12
2023,SN Thakur,Kolkata Knight Riders,9,126,21.0,220,7,10.48,31.43,18.0,32,23,9,32,4,6,10
2023,SP Narine,Kolkata Knight Riders,14,288,48.0,383,11,7.98,34.82,26.18,84,25,15,40,9,0,9
2023,SSB Magala,Chennai Super Kings,2,36,6.0,51,1,8.5,51.0,36.0,5,5,0,5,1,0,1
2023,Sandeep Sharma,Rajasthan Royals,12,276,46.0,396,10,8.61,39.6,27.6,94,40,13,53,10,4,14
2023,Shahbaz Ahmed,Royal Challengers Bengaluru,5,42,7.0,95,1,13.57,95.0,42.0,9,6,8,14,0,0,0
2023,Sikandar Raza,Punjab Kings,6,72,12.0,119,3,9.92,39.67,24.0,19,11,4,15,7,0,8
2023,Suyash Sharma,Kolkata Knight Riders,11,234,39.0,321,10,8.23,32.1,23.4,80,24,16,40,4,2,6
2023,Swapnil Singh,Lucknow Super Giants,2,12,2.0,18,0,9.0,,,2,2,0,2,0,0,0
2023,T Natarajan,Sunrisers Hyderabad,12,270,45.0,410,10,9.11,41.0,27.0,72,38,14,52,6,0,6
2023,T Stubbs,Mumbai Indians,1,12,2.0,14,1,7.0,14.0,12.0,3,0,1,1,0,0,0
2023,TA Boult,Rajasthan Royals,10,228,38.0,312,13,8.21,24.0,17.54,103,39,8,47,12,0,12
2023,TG Southee,Kolkata Knight Riders,2,36,6.0,79,2,13.17,39.5,18.0,12,8,5,13,0,0,0
2023,TU Deshpande,Chennai Super Kings,16,341,56.5,564,21,9.92,26.86,16.24,128,54,28,82,23,4,28
2023,Tilak Varma,Mumbai Indians,1,6,1.0,7,0,7.0,,,3,1,0,1,1,0,1
2023,UT Yadav,Kolkata Knight Riders,8,114,19.0,189,1,9.95,189.0,114.0,41,18,11,29,2,0,2
2023,Umran Malik,Sunrisers Hyderabad,8,120,20.0,217,5,10.85,43.4,24.0,41,27,9,36,10,0,10
2023,VG Arora,Kolkata Knight Riders,5,96,16.0,146,5,9.12,29.2,19.2,30,18,1,19,8,12,20
2023,Vijaykumar Vyshak,Royal Challengers Bengaluru,7,144,24.0,253,9,10.54,28.11,16.0,40,20,14,34,8,7,15
2023,Vivrant Sharma,Sunrisers Hyderabad,2,18,3.0,37,0,12.33,,,5,1,3,4,2,7,9
2023,WD Parnell,Royal Challengers Bengaluru,7,151,25.1,236,9,9.38,26.22,16.78,55,22,13,35,5,1,6
2023,Washington Sundar,Sunrisers Hyderabad,7,106,17.4,146,3,8.26,48.67,35.33,35,12,6,18,0,0,0
2023,YS Chahal,Rajasthan Royals,14,317,52.5,432,21,8.18,20.57,15.1,95,31,15,46,9,0,9
2023,Yash Dayal,Gujarat Titans,5,84,14.0,165,2,11.79,82.5,42.0,24,12,12,24,4,0,4
2023,Yash Thakur,Lucknow Super Giants,9,191,31.5,289,13,9.08,22.23,14.69,63,19,16,35,14,4,18
2023,Yudhvir Singh,Lucknow Super Giants,3,48,8.0,70,3,8.75,23.33,16.0,23,10,2,12,6,0,6
2024,A Badoni,Lucknow Super Giants,2,12,2.0,25,0,12.5,,,1,1,2,3,0,0,0
2024,A Kamboj,Mumbai Indians,3,60,10.0,114,2,11.4,57.0,30.0,19,10,6,16,6,6,12
2024,A Mishra,Lucknow Super Giants,1,12,2.0,20,1,10.0,20.0,12.0,5,1,2,3,0,0,0
